ground_truth_index,row_in_group,g_leak,g_K,g_Na,stored_spike_count_distance,stored_dtw_distance
0,15,0.0007066629515263288,0.3455720755573271,1.6085201546227617,2,4229.456904327334
0,39,0.000855802144397792,1.278871107353517,3.603674828029373,2,5002.063700326862
0,52,0.000856895904198577,1.2781536110849592,3.6005099949272386,2,4966.532267666392
0,76,0.0007312062319769949,0.49696923432220913,1.874902926445082,2,4255.430701978567
0,89,0.0007322999917777799,0.4962517380536513,1.871738093342948,2,4303.712025757905
0,126,0.0008571577305810002,1.4241859234120007,3.530755015100579,2,5052.844343266298
0,150,0.0007064585468371645,0.39705909681025703,1.6109130944700014,2,4102.895674916909
0,163,0.0007075523066379495,0.3963416005416992,1.6077482613678673,2,4100.608859786756
0,200,0.0007075570902752037,0.4114997291372954,1.6341275573612706,2,4104.503634472255
0,224,0.0007311965002062889,0.5243101719866476,1.8649797092629292,2,4324.941607107396
0,237,0.0007322902600070738,0.5235926757180898,1.861814876160795,2,4336.926536759713
0,261,0.0007311912945062699,0.5230172842395042,1.8614648408633079,2,4281.327569975706
0,274,0.0007322850543070549,0.5222997879709464,1.8583000077611738,2,4342.127396851748
0,298,0.000706505630806918,0.4095566298490293,1.6241464011705482,2,4067.1981753207165
0,311,0.000707599390607703,0.40883913358047147,1.620981568068414,2,4125.316412669363
0,348,0.0007076093385356663,0.37870738219869216,1.6281878940075487,2,4072.306473795022
0,372,0.0008566188999419022,1.365627150056573,3.5695841164258915,2,4993.501220611379
0,385,0.0008577126597426872,1.3649096537880152,3.566419283323757,2,5001.964000876523
0,422,0.0007076329199767167,0.4175664827042708,1.6298567079629043,2,4125.967792986982
0,459,0.0007076476553080891,0.39073164104466307,1.6311916631682473,2,4122.279629994595
0,496,0.0007076541418968414,0.3513474290896011,1.6735661391746817,2,4191.946376768781
0,520,0.000706592251753549,0.4052962394330899,1.6089364798454955,2,4082.8329285884606
0,533,0.000707686011554334,0.4045787431645321,1.6057716467433614,2,4145.927964658393
0,570,0.0007077088421994132,0.3548654043226646,1.6301876241382738,2,4204.323735496921
0,607,0.0007077172344495225,0.3499586113954673,1.6691888587586654,2,4178.916725842649
0,644,0.0007322479680353276,0.43225149531933027,1.9396840275971858,2,4323.569097229453
0,681,0.0007077547084983229,0.348347479614929,1.6212817738735048,2,4226.210606070375
0,705,0.0007066828751001178,0.3986289245335107,1.6141633435537182,2,4110.216291775694
0,718,0.0007077766349009028,0.39791142826495285,1.610998510451584,2,4138.305330377986
0,755,0.0007074915495158455,0.3883519617167382,1.6284964207714219,2,4061.0678200915145
0,779,0.0007066921195759746,0.4135245445478962,1.6255589478096606,2,4119.830083872964
0,792,0.0007077858793767596,0.4128070482793384,1.6223941147075265,2,4079.783224935938
0,829,0.0007074838968624838,0.39110314140440416,1.6275145004277831,2,4115.532001737639
0,866,0.0007074628993273263,0.35504525324279484,1.6015400781825238,2,4247.267574805955
0,903,0.0007072267444650734,0.3534969167468641,1.5974514132663442,2,4246.691869203313
0,927,0.000706168389956028,0.398995427931135,1.6085469041450753,2,4075.246032682144
0,940,0.000707262149756813,0.3982779316625772,1.6053820710429412,2,4133.086915482782
0,964,0.0007061701998622012,0.4013188251892171,1.614204219753572,2,4069.64087845197
0,977,0.0007072639596629862,0.40060132892065925,1.6110393866514379,2,4134.811559343732
0,1001,0.0008539300752974364,1.248023583723971,3.574611167807093,2,4939.818723612389
0,1014,0.0008550238350982214,1.2473060874554132,3.5714463347049588,2,4986.441520287703
0,1038,0.0007061842848363663,0.4027477357921596,1.6072557710531172,2,4104.461479575841
0,1051,0.0007072780446371513,0.4020302395236018,1.6040909379509831,2,4126.288591709081
0,1075,0.0007061845817115923,0.40708117637415153,1.6218376239129944,2,4085.98668217531
0,1088,0.0007072783415123773,0.4063636801055937,1.6186727908108602,2,4121.5190253976325
0,1112,0.0007312700368644221,0.5128098332013877,1.8623369127225005,2,4257.978199633307
0,1125,0.0007323637966652071,0.51209233693283,1.8591720796203663,2,4325.77954028822
0,1162,0.000707314122281248,0.3804487489389574,1.6258470152816544,2,4094.1374117047576
0,1186,0.0007062281224680547,0.40903263623088987,1.6269856500118711,2,4047.283104528771
0,1199,0.0007073218822688397,0.40831513996233204,1.623820816909737,2,4073.1711391595895
0,1236,0.0007323433519186008,0.4316171291594614,1.8752325668269245,2,4385.705790962991
0,1260,0.0007312440736184719,0.5073299414520838,1.8722141651422992,2,4276.440132003988
0,1273,0.0007323378334192569,0.506612445183526,1.869049332040165,2,4280.1790147037
