model,perturbation_pct,mode,efficacy_retained_pct_of_unperturbed
single-compartment differentiable,1.0,"joint draws, 5th percentile",94.4954
single-compartment differentiable,1.0,worst combination of directions,88.9908
single-compartment differentiable,2.0,one conductance at a time,88.9908
single-compartment differentiable,2.0,"joint draws, median",96.3303
single-compartment differentiable,2.0,"joint draws, 5th percentile",90.8257
single-compartment differentiable,2.0,worst combination of directions,76.1468
single-compartment differentiable,3.0,one conductance at a time,87.156
single-compartment differentiable,3.0,"joint draws, median",94.4954
single-compartment differentiable,3.0,"joint draws, 5th percentile",86.6972
single-compartment differentiable,3.0,worst combination of directions,76.1468
single-compartment differentiable,4.0,one conductance at a time,79.8165
single-compartment differentiable,4.0,"joint draws, median",91.7431
single-compartment differentiable,4.0,"joint draws, 5th percentile",79.8165
single-compartment differentiable,4.0,worst combination of directions,72.9358
single-compartment differentiable,5.0,one conductance at a time,71.1009
single-compartment differentiable,5.0,"joint draws, median",90.8257
single-compartment differentiable,5.0,"joint draws, 5th percentile",77.0183
single-compartment differentiable,5.0,worst combination of directions,66.9725
single-compartment differentiable,6.0,one conductance at a time,60.0917
single-compartment differentiable,6.0,"joint draws, median",89.2202
single-compartment differentiable,6.0,"joint draws, 5th percentile",70.6422
single-compartment differentiable,6.0,worst combination of directions,53.6697
single-compartment differentiable,7.000000000000001,one conductance at a time,54.1284
single-compartment differentiable,7.000000000000001,"joint draws, median",87.6147
single-compartment differentiable,7.000000000000001,"joint draws, 5th percentile",62.3853
single-compartment differentiable,7.000000000000001,worst combination of directions,45.8716
single-compartment differentiable,8.0,one conductance at a time,38.5321
single-compartment differentiable,8.0,"joint draws, median",82.1101
single-compartment differentiable,8.0,"joint draws, 5th percentile",52.2936
single-compartment differentiable,8.0,worst combination of directions,28.4404
single-compartment differentiable,9.0,one conductance at a time,19.7248
single-compartment differentiable,9.0,"joint draws, median",80.7339
single-compartment differentiable,9.0,"joint draws, 5th percentile",36.2156
single-compartment differentiable,9.0,worst combination of directions,17.4312
single-compartment differentiable,10.0,one conductance at a time,-16.9725
single-compartment differentiable,10.0,"joint draws, median",79.8165
single-compartment differentiable,10.0,"joint draws, 5th percentile",22.8899
single-compartment differentiable,10.0,worst combination of directions,-26.6055
single-compartment differentiable,11.0,one conductance at a time,-85.7798
single-compartment differentiable,11.0,"joint draws, median",79.3578
single-compartment differentiable,11.0,"joint draws, 5th percentile",-8.2798
single-compartment differentiable,11.0,worst combination of directions,-86.6972
single-compartment differentiable,12.0,one conductance at a time,-90.367
single-compartment differentiable,12.0,"joint draws, median",72.4771
single-compartment differentiable,12.0,"joint draws, 5th percentile",-79.8165
